,game_id,team,opp_team,home_away,home_score,away_score,win,margin,total_pts,year,week,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season
39,54511,STL,GB,home,17,36,FALSE,19,53,2009,3,-19,-19,-4.5,-4.5,-22.5,-22.5,-41.5,-41.5,19,19,68.5,68.5,41,41,27.5,27.5,4.5,4.5,-32.5,-32.5,-3.5,-3.5,4.5,4.5,-1,-1,0.5,0.5
40,54512,TB,NYG,home,0,24,FALSE,24,24,2009,3,-7.5,-7.5,9.5,9.5,12.5,12.5,-3,-3,15.5,15.5,125,125,125,125,0,0,28.5,28.5,7,7,4,4,2.5,2.5,-2,-2,0,0
41,54513,BUF,NO,home,7,27,FALSE,20,34,2009,3,-18,-18,-2,-2,-111,-111,-120,-120,9,9,50,50,44,44,6,6,38.5,38.5,21,21,-4.5,-4.5,5,5,-2,-2,-0.5,-0.5
42,54514,SEA,CHI,home,19,25,FALSE,6,44,2009,3,3,3,-6,-6,51,51,-1,-1,52,52,46,46,-30,-30,76,76,-17.5,-17.5,21,21,4.5,4.5,-2,-2,-0.5,-0.5,0,0
43,54499,NYJ,TEN,home,24,17,TRUE,7,41,2009,3,-0.5,-0.5,-15.5,-15.5,-26.5,-26.5,-17,-17,-9.5,-9.5,-147.5,-147.5,-158.5,-158.5,11,11,21.5,21.5,13,13,-0.5,-0.5,-4.5,-4.5,0,0,-1,-1
44,54500,OAK,DEN,home,3,23,FALSE,20,26,2009,3,-3,-3,10.5,10.5,-109.5,-109.5,-86.5,-86.5,-23,-23,109.5,109.5,54.5,54.5,55,55,-2,-2,30,30,-2.5,-2.5,8.5,8.5,-0.5,-0.5,1,1
45,54501,SD,MIA,home,23,13,TRUE,10,36,2009,3,10,10,2.5,2.5,64.5,64.5,167,167,-102.5,-102.5,20,20,-54.5,-54.5,74.5,74.5,49,49,8.5,8.5,-2,-2,4,4,2,2,-0.5,-0.5
46,54502,ARI,IND,home,10,31,FALSE,21,41,2009,3,3,3,1,1,-19.5,-19.5,-32.5,-32.5,13,13,-28,-28,92,92,-120,-120,51.5,51.5,18.5,18.5,2,2,-4,-4,1.5,1.5,1,1
47,54503,DAL,CAR,home,21,7,TRUE,14,28,2009,3,17.5,17.5,-6,-6,115.5,115.5,46,46,69.5,69.5,119.5,119.5,152,152,-32.5,-32.5,13,13,-30.5,-30.5,1.5,1.5,2.5,2.5,-2,-2,-2.5,-2.5
48,54515,CHI,DET,home,48,24,TRUE,24,72,2009,4,-0.66666667,-0.66666667,-10.66666667,-10.66666667,22.6666667,22.6666667,56.6666667,56.6666667,-33.99999997,-33.99999997,-96.6666667,-96.6666667,-80,-80,-16.66666663,-16.66666663,-6,-6,-11.33333334,-11.33333334,-1.66666667,-1.66666667,-5.33333334,-5.33333334,-0.333333334,-0.333333334,0,0
49,54516,CLE,CIN,home,20,23,FALSE,3,43,2009,4,-10.66666666,-10.66666666,13,13,-81.6666667,-81.6666667,-40.6666666,-40.6666666,-40.99999997,-40.99999997,84,84,-11.6666667,-11.6666667,95.66666663,95.66666663,-0.66666666,-0.66666666,2,2,-5,-5,7.66666667,7.66666667,0,0,1.666666667,1.666666667
50,54517,HOU,OAK,home,29,6,TRUE,23,35,2009,4,9.66666667,9.66666667,9.66666667,9.66666667,110.3333333,110.3333333,143,143,-32.66666663,-32.66666663,70.3333333,70.3333333,20.6666667,20.6666667,49.6666667,49.6666667,-0.33333333,-0.33333333,8,8,4.66666667,4.66666667,0,0,-0.333333334,-0.333333334,-0.666666667,-0.666666667
51,54518,IND,SEA,home,34,17,TRUE,17,51,2009,4,5,5,-1,-1,50.3333334,50.3333334,76.3333334,76.3333334,-26,-26,3.3333333,3.3333333,17,17,-13.6666666,-13.6666666,-3,-3,-40,-40,-2,-2,5.66666667,5.66666667,0.333333333,0.333333333,-1,-1
52,54519,JAC,TEN,home,37,17,TRUE,20,54,2009,4,0.66666667,0.66666667,-0.66666667,-0.66666667,-19,-19,2,2,-21,-21,46.3333334,46.3333334,7,7,39.33333333,39.33333333,2.33333333,2.33333333,3.33333333,3.33333333,0,0,5,5,0.333333333,0.333333333,-1.333333334,-1.333333334
53,54520,KC,NYG,home,16,27,FALSE,11,43,2009,4,-10.66666667,-10.66666667,12.33333333,12.33333333,-127.3333334,-127.3333334,-85.6666667,-85.6666667,-41.6666667,-41.6666667,117,117,119,119,-2,-2,15,15,7.66666666,7.66666666,-5.66666666,-5.66666666,7,7,-1.666666666,-1.666666666,0.333333333,0.333333333
54,54521,NE,BAL,home,27,21,TRUE,6,48,2009,4,-14.33333333,-14.33333333,-1,-1,-35.3333333,-35.3333333,13.3333333,13.3333333,-48.6666667,-48.6666667,-20.3333334,-20.3333334,-57.6666667,-57.6666667,37.33333333,37.33333333,-9,-9,11.33333333,11.33333333,-2.66666666,-2.66666666,0.66666667,0.66666667,-1,-1,-0.333333333,-0.333333333
55,54522,WAS,TB,home,16,13,TRUE,3,29,2009,4,-0.33333334,-0.33333334,-14,-14,45,45,39.6666667,39.6666667,5.33333334,5.33333334,-106.6666666,-106.6666666,-47,-47,-59.6666666,-59.6666666,4,4,-7.66666667,-7.66666667,2.66666666,2.66666666,-5,-5,0.333333333,0.333333333,0.333333333,0.333333333
56,54523,MIA,BUF,home,38,10,TRUE,28,48,2009,4,-7,-7,-1,-1,-2,-2,-31,-31,29,29,-60,-60,-8.6666666,-8.6666666,-51.3333333,-51.3333333,-52,-52,-63,-63,2.33333334,2.33333334,-5.33333334,-5.33333334,-1,-1,0.666666666,0.666666666
57,54524,NO,NYJ,home,24,10,TRUE,14,34,2009,4,18.66666667,18.66666667,7.66666667,7.66666667,123,123,82.3333333,82.3333333,40.6666667,40.6666667,56.3333333,56.3333333,70,70,-13.66666667,-13.66666667,-4.66666666,-4.66666666,33.33333333,33.33333333,7.66666667,7.66666667,1.33333334,1.33333334,0.666666667,0.666666667,0.333333334,0.333333334
58,54525,DEN,DAL,home,17,10,TRUE,7,27,2009,4,-8,-8,-15,-15,-55.3333334,-55.3333334,-20.3333333,-20.3333333,-35,-35,-168,-168,-131.6666667,-131.6666667,-36.33333337,-36.33333337,-17.33333333,-17.33333333,2.66666667,2.66666667,-3,-3,-8,-8,1.666666667,1.666666667,-0.666666666,-0.666666666
59,54526,SF,STL,home,35,0,TRUE,35,35,2009,4,14.33333333,14.33333333,-6.66666666,-6.66666666,0,0,5.6666666,5.6666666,-5.6666666,-5.6666666,-83.6666666,-83.6666666,-2.3333333,-2.3333333,-81.33333333,-81.33333333,-8.33333334,-8.33333334,22.66666667,22.66666667,-2.33333333,-2.33333333,-5,-5,0,0,-1,-1
60,54527,PIT,SD,home,38,28,TRUE,10,66,2009,4,-8.66666666,-8.66666666,-4.66666666,-4.66666666,-36,-36,-50.6666667,-50.6666667,14.66666667,14.66666667,-32.6666667,-32.6666667,33.3333333,33.3333333,-65.99999997,-65.99999997,-0.66666667,-0.66666667,9,9,-0.33333333,-0.33333333,-2,-2,-1.333333333,-1.333333333,0.333333333,0.333333333
61,54528,MIN,GB,home,30,23,TRUE,7,53,2009,4,2.33333333,2.33333333,-2,-2,4.3333333,4.3333333,-33.6666666,-33.6666666,38,38,-76,-76,-39.3333333,-39.3333333,-36.6666667,-36.6666667,-13,-13,2,2,-0.66666666,-0.66666666,-4,-4,-1,-1,0.333333334,0.333333334
62,54529,BAL,CIN,home,14,17,FALSE,3,31,2009,5,10,10,1,1,95,95,71.25,71.25,23.75,23.75,-53.5,-53.5,-10,-10,-43.5,-43.5,15.75,15.75,-5.75,-5.75,7.75,7.75,-1,-1,0.75,0.75,-0.25,-0.25
63,54530,BUF,CLE,home,3,6,FALSE,3,9,2009,5,6.25,6.25,-2,-2,28.5,28.5,7.75,7.75,20.75,20.75,-26.25,-26.25,0,0,-26.25,-26.25,15.5,15.5,22.75,22.75,1,1,0,0,0,0,-0.75,-0.75
64,54531,CAR,WAS,home,20,17,TRUE,3,37,2009,5,-1.66666667,-1.66666667,13.5,13.5,-31.9166667,-31.9166667,-32.9166667,-32.9166667,1,1,60.8333333,60.8333333,6.1666667,6.1666667,54.6666667,54.6666667,-9.33333333,-9.33333333,22.08333333,22.08333333,-0.33333333,-0.33333333,4.58333333,4.58333333,0.083333333,0.083333333,2,2
