,away_score,away_team_id,changeable,home_score,home_team_id,id,ko_datetime,name,week
162,0,58,True,0,68,734,2017-11-23 20:30:00+00:00,57396,12
163,0,66,True,0,38,735,2017-11-26 13:00:00+00:00,57397,12
164,0,44,True,0,43,736,2017-11-26 13:00:00+00:00,57398,12
165,0,67,True,0,50,737,2017-11-26 13:00:00+00:00,57399,12
166,0,40,True,0,52,738,2017-11-26 13:00:00+00:00,57400,12
167,0,54,True,0,56,739,2017-11-26 13:00:00+00:00,57401,12
168,0,41,True,0,59,740,2017-11-26 13:00:00+00:00,57402,12
169,0,42,True,0,61,741,2017-11-26 13:00:00+00:00,57403,12
170,0,57,True,0,53,742,2017-11-26 16:05:00+00:00,57404,12
171,0,64,True,0,65,743,2017-11-26 16:05:00+00:00,57405,12
172,0,51,True,0,37,744,2017-11-26 16:25:00+00:00,57406,12
173,0,46,True,0,60,745,2017-11-26 16:25:00+00:00,57407,12
174,0,48,True,0,62,746,2017-11-26 20:30:00+00:00,57408,12
175,0,49,True,0,39,747,2017-11-27 20:30:00+00:00,57409,12
176,0,68,True,0,45,748,2017-11-30 20:25:00+00:00,57410,13
177,0,55,True,0,38,749,2017-12-03 13:00:00+00:00,57411,13
178,0,47,True,0,39,750,2017-12-03 13:00:00+00:00,57412,13
179,0,56,True,0,40,751,2017-12-03 13:00:00+00:00,57413,13
180,0,65,True,0,42,752,2017-12-03 13:00:00+00:00,57414,13
181,0,66,True,0,48,753,2017-12-03 13:00:00+00:00,57415,13
182,0,50,True,0,51,754,2017-12-03 13:00:00+00:00,57416,13
183,0,46,True,0,54,755,2017-12-03 13:00:00+00:00,57417,13
184,0,41,True,0,57,756,2017-12-03 13:00:00+00:00,57418,13
185,0,52,True,0,59,757,2017-12-03 13:00:00+00:00,57419,13
186,0,49,True,0,67,758,2017-12-03 13:00:00+00:00,57420,13
187,0,44,True,0,63,759,2017-12-03 16:05:00+00:00,57421,13
188,0,53,True,0,37,760,2017-12-03 16:25:00+00:00,57422,13
189,0,58,True,0,60,761,2017-12-03 16:25:00+00:00,57423,13
190,0,61,True,0,64,762,2017-12-03 20:30:00+00:00,57424,13
191,0,62,True,0,43,763,2017-12-04 20:30:00+00:00,57425,13
192,0,57,True,0,38,764,2017-12-07 20:25:00+00:00,57426,14
193,0,50,True,0,40,765,2017-12-10 13:00:00+00:00,57427,14
194,0,55,True,0,41,766,2017-12-10 13:00:00+00:00,57428,14
195,0,42,True,0,43,767,2017-12-10 13:00:00+00:00,57429,14
196,0,48,True,0,44,768,2017-12-10 13:00:00+00:00,57430,14
197,0,65,True,0,49,769,2017-12-10 13:00:00+00:00,57431,14
198,0,64,True,0,51,770,2017-12-10 13:00:00+00:00,57432,14
199,0,60,True,0,52,771,2017-12-10 13:00:00+00:00,57433,14
200,0,47,True,0,66,772,2017-12-10 13:00:00+00:00,57434,14
201,0,67,True,0,37,773,2017-12-10 16:05:00+00:00,57435,14
202,0,59,True,0,46,774,2017-12-10 16:05:00+00:00,57436,14
203,0,68,True,0,63,775,2017-12-10 16:05:00+00:00,57437,14
204,0,61,True,0,53,776,2017-12-10 16:25:00+00:00,57438,14
205,0,45,True,0,58,777,2017-12-10 16:25:00+00:00,57439,14
206,0,39,True,0,62,778,2017-12-10 20:30:00+00:00,57440,14
207,0,56,True,0,54,779,2017-12-11 20:30:00+00:00,57441,14
208,0,46,True,0,50,780,2017-12-14 20:25:00+00:00,57442,15
209,0,42,True,0,47,781,2017-12-16 16:30:00+00:00,57443,15
210,0,63,True,0,52,782,2017-12-16 20:25:00+00:00,57444,15
211,0,54,True,0,40,783,2017-12-17 13:00:00+00:00,57445,15
212,0,48,True,0,41,784,2017-12-17 13:00:00+00:00,57446,15
213,0,39,True,0,44,785,2017-12-17 13:00:00+00:00,57447,15
214,0,49,True,0,51,786,2017-12-17 13:00:00+00:00,57448,15
215,0,43,True,0,55,787,2017-12-17 13:00:00+00:00,57449,15
216,0,59,True,0,57,788,2017-12-17 13:00:00+00:00,57450,15
217,0,61,True,0,58,789,2017-12-17 13:00:00+00:00,57451,15
218,0,37,True,0,68,790,2017-12-17 13:00:00+00:00,57452,15
219,0,53,True,0,64,791,2017-12-17 16:05:00+00:00,57453,15
220,0,56,True,0,62,792,2017-12-17 16:25:00+00:00,57454,15
221,0,67,True,0,65,793,2017-12-17 16:25:00+00:00,57455,15
222,0,45,True,0,60,794,2017-12-17 20:30:00+00:00,57456,15
223,0,38,True,0,66,795,2017-12-18 20:30:00+00:00,57457,15
224,0,50,True,0,39,796,2017-12-23 16:30:00+00:00,57458,16
225,0,55,True,0,48,797,2017-12-23 20:30:00+00:00,57459,16
226,0,66,True,0,41,798,2017-12-24 13:00:00+00:00,57460,16
227,0,44,True,0,42,799,2017-12-24 13:00:00+00:00,57461,16
228,0,47,True,0,43,800,2017-12-24 13:00:00+00:00,57462,16
229,0,54,True,0,52,801,2017-12-24 13:00:00+00:00,57463,16
230,0,40,True,0,56,802,2017-12-24 13:00:00+00:00,57464,16
231,0,38,True,0,57,803,2017-12-24 13:00:00+00:00,57465,16
232,0,63,True,0,59,804,2017-12-24 13:00:00+00:00,57466,16
233,0,53,True,0,67,805,2017-12-24 13:00:00+00:00,57467,16
234,0,46,True,0,68,806,2017-12-24 13:00:00+00:00,57468,16
235,0,51,True,0,65,807,2017-12-24 16:05:00+00:00,57469,16
236,0,58,True,0,37,808,2017-12-24 16:25:00+00:00,57470,16
237,0,64,True,0,45,809,2017-12-24 16:25:00+00:00,57471,16
238,0,62,True,0,49,810,2017-12-25 16:30:00+00:00,57472,16
239,0,60,True,0,61,811,2017-12-25 20:30:00+00:00,57473,16
240,0,41,True,0,38,812,2017-12-31 13:00:00+00:00,57474,17
241,0,43,True,0,39,813,2017-12-31 13:00:00+00:00,57475,17
242,0,48,True,0,47,814,2017-12-31 13:00:00+00:00,57476,17
243,0,49,True,0,50,815,2017-12-31 13:00:00+00:00,57477,17
244,0,40,True,0,54,816,2017-12-31 13:00:00+00:00,57478,17
245,0,42,True,0,55,817,2017-12-31 13:00:00+00:00,57479,17
246,0,59,True,0,56,818,2017-12-31 13:00:00+00:00,57480,17
247,0,68,True,0,58,819,2017-12-31 13:00:00+00:00,57481,17
248,0,45,True,0,61,820,2017-12-31 13:00:00+00:00,57482,17
249,0,44,True,0,62,821,2017-12-31 13:00:00+00:00,57483,17
250,0,57,True,0,66,822,2017-12-31 13:00:00+00:00,57484,17
251,0,51,True,0,67,823,2017-12-31 13:00:00+00:00,57485,17
252,0,52,True,0,46,824,2017-12-31 16:25:00+00:00,57486,17
253,0,60,True,0,63,825,2017-12-31 16:25:00+00:00,57487,17
254,0,65,True,0,53,826,2017-12-31 16:25:00+00:00,57488,17
255,0,37,True,0,64,827,2017-12-31 16:25:00+00:00,57489,17
